id,name,kana,area,category,lat,lng,zoom,url,image,description,受入員数,所要時間,開催場所,電話番号,住所,営業時間,定休日,料金,アクセス,駐車場,ウェブサイト,オンライン予約,体験内容,最少催行人員,注意事項,駐車場：台数,駐車場：大型バスの駐車,駐車場：備考,受付期間,備考,メールアドレス,関連資料,決済方法,開催期間
detail_1518,越前水仙群生地,えちぜんすいせんぐんせいち,"あわら・坂井・福井市,丹南,福井市,越前町,南越前町","自然・スポーツ体験,歴史・文化体験",35.981835728144134,135.96327071796875,14,https://www.fuku-e.com/spot/detail_1518.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1518/1518_2_l.jpg,「越前水仙」とは、越前海岸に咲く日本水仙の総称。千葉県房総半島、兵庫県淡路島と並び日本三大群生地のひとつとして数えられ、その面積は日本一を誇ります。冬が訪れるころ、水仙たちは寒さから身を守るように寄り添いながら、海岸風景を白く清々とつつみ…,,,,越前町観光連盟 0778-37-1234,福井県越前町,,,,北陸自動車道福井ICから車で約70分、鯖江ICから車で約60分、武生ICから車で約60分、敦賀ICから車で約80分　※所在地により時間が異なります,,"https://www.town-echizen.jp/spot/spot01Detail.php?id=262,https://www.town-echizen.jp/pages/?id=7",,,,,,,,,,,,,
detail_1519,越前陶芸村,えちぜんとうげいむら,"丹南,越前町","ものづくり体験,歴史・文化体験",35.935418,136.060183,16,https://www.fuku-e.com/spot/detail_1519.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1519/1519_8_l.jpg,広大な陶芸公園の各所に桜が植えられているため、見ごろの時期には公園内どこでも桜を眺めながら散策できる。4月中旬には「越前陶芸村しだれ桜まつり」、5月下旬には「越前陶芸まつり」などイベントも多く開催される。・・★越前陶芸村で開催しているイベント…,,,,福井県陶芸館 0778-32-2174,福井県越前町小曽原,入園自由,無休,無料,"JR武生駅から織田行き福鉄バス　陶芸村口下車、徒歩10分
北陸自動車道武生ＩＣから国道8号線、365号線経由約30分",,"http://www.tougeikan.jp/,https://www.fuku-e.com/fukutabi/detail_128.html",,,,,,,,,,,,,
detail_1543,福井総合植物園プラントピア,ふくいそうごうしょくぶつえんぷらんとぴあ,"丹南,越前町","ものづくり体験,自然・スポーツ体験",35.968775,136.118901,16,https://www.fuku-e.com/spot/detail_1543.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1543/1543_3_l.jpg,"日本海側最大規模の25ヘクタール広さを持つ植物園です。自然の地形を生かした植物園であり、植物館を併設しています。来園者に分かりやすいように、園内には、サクラ園、ドングリ園、ロックガーデンなど計35の植物コーナーが設けられ、計3,000種の植物が植え…",,,,0778-34-1120,福井県越前町朝日17-3-1,9:00～17:00(入園受付は16時まで),毎週火曜日(祝日の場合はその翌日)、年末年始,"大人310円、高校生・中学生200円、小学生100円
団体料金有り（30名以上）

※　障がい者料金について
身体障害者手帳、精神障害者福祉手帳、療育手帳などお持ちの方が施設をご利用される場合、受付時に手帳をご提示頂くことで、障がい者料金をご利用になれます。また、歩行困難な方、介助が必要な方は、お付き添いの方１名様まで、入園無料となります。","★公共交通機関の場合：福井鉄道神明駅下車　福鉄バス鯖浦線乗車約15分～朝日バス停下車後徒歩10分
★車の場合：北陸自動車道鯖江I.Cから約30分",あり,"http://www.fukui-bot.jp/,https://www.echizenkk.jp/plantpia,https://www.facebook.com/fukuibotanicalgarden/",,,,,,,,,,,,,
detail_1585,めがねミュージアム,めがねみゅーじあむ,"丹南,鯖江市",,35.9498359,136.1896025,15,https://www.fuku-e.com/spot/detail_1585.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1585/1585_8_l.jpg,福井県は、国内生産フレームの9割以上のシェアを持つめがねの産地です。その産地ならではのめがねを扱うアンテナショップ。また、純国産フレームや、チタンやプラスティックを材料にしためがね以外の製品の展示販売、糸のこぎりを使って世界でひとつだけの自…,,,,0778-42-8311,福井県鯖江市新横江2-3-4 めがね会館,"ショップ10:00～19:00
博物館、工房10:00～17:00
カフェ10:00～16:00",毎週水曜日(祝日除く)・年末年始,"入場料無料
体験料金:(1)めがね手作り体験22,000円～(レンズ代別)
(2)コロナにより中止中
(3)めがねdeコラージュ1,800円～",北陸道鯖江ICから約3分、 JR鯖江駅から徒歩約10分,あり,"https://www.megane.gr.jp/museum/,https://www.fuku-e.com/feature/megane",,,,,50,,,,,,,,
detail_1614,越前古窯博物館,えちぜんこようはくぶつかん,"丹南,越前町","ものづくり体験,歴史・文化体験",35.9358695,136.0594626,16,https://www.fuku-e.com/spot/detail_1614.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1614/1614_1_l.jpg,越前古窯博物館は、国登録有形文化財を展示する「資料館」、福井の古民家を移築した「旧水野家住宅」、本格的な茶室「天心堂」・「天心庵」から構成されます。資料館では国登録有形文化財「福井県陶磁器資料(水野コレクション)」を展示して平安時代から近現…,,,,"0778-32-2174
（FAX:0778-32-2279）",福井県越前町小曽原107-1-169,"開館時間9:00～17:00　　
＊入館は16:30まで
",月曜日(休日を除く)、休日の翌日(土・日・休日を除く)、年末年始,"スペシャルパスポート(福井県陶芸館・越前古窯博物館+呈茶)1,000円
共通入館券(福井県陶芸館・越前古窯博物館)500円 
越前古窯博物館 資料館 300円   

呈茶
お抹茶　生菓子付　600円
お抹茶　干菓子付　400円
","バス
　　○JR武生駅より・・・約30分
 　　　福鉄バス(武生・越前海岸線)
 　　　「かれい崎行」「陶芸村口」下車/片道640円
 　　○福鉄線神明駅より・・・約30分
 　　　福鉄バス(鯖浦線)
 　　　「かれい崎行」「陶芸村口」下車/片道710円

　高速道路
 　　○武生インター(京都・名古屋方面)より・・・約30分
 　　○鯖江インター(金沢方面)より・・・約30分
 　　○敦賀インター(名神・舞若道)より・・・305号線利用　約50分
",あり,https://www.tougeikan.jp/koyou/,,,,,50,,,,,,,,
detail_1617,ツリーピクニックアドベンチャーいけだ,つりーぴくにっくあどべんちゃーいけだ,"丹南,池田町",自然・スポーツ体験,35.8624071,136.3672554,16,https://www.fuku-e.com/spot/detail_1617.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1617/1617_1_l.jpg,池田町の志津原エリアの山林にある日本最大級の冒険の森。鳥の視点で大空にはばたく全長約1kmの「メガジップライン」、樹上を空中散歩できる「アドベンチャーパーク」、足羽川の源流を下る全長2.1kmの「アドベンチャーボート」など、木に触れ、森を飛び、川…,,体験コースによって異なります。ホームページでご確認ください。,,"ツリーピクニックアドベンチャーいけだ
0778-44-7474",福井県池田町志津原28-16,10:00～17:00,"■3月中旬～12月上旬は火曜日定休(GW・夏休み期間は無休)
■1月中旬～2月は土・日・月曜のみ営業
■12月上旬～1月上旬および3月上旬は休業","・体験
　・体験コースによって異なります。ホームページでご確認ください。
・宿泊料金
　・コテージ:1棟19,000円～(定員5名)
　・キャビン:1棟32,000円～(定員12名)
　・樹上テント:1サイト16,000円～(定員4名※2名での利用がおすすめ)",北陸自動車道「武生IC」または「鯖江IC」から車で35分/北陸自動車道「福井IC」から車で40分,あり,https://www.picnic.ikeda-kibou.com/,,"・メガジップライン
・アドベンチャーパーク（ディスカバリーコース、キッズコース、リトルキッズコース、ツリークライムコース）
・アドベンチャーボート",,インターネットまたは電話予約,200,,,,,mailto:info@picnic.ikeda-kibou.com,,,
detail_1622,おさかな集積所おとと（手ぶらでOK！海釣り体験）,おさかなしゅうせきじょおとと,"あわら・坂井・福井市,坂井市",漁業体験・魚釣り,36.2234313,136.1358034,15,https://www.fuku-e.com/experience/detail_1622.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1622/1622_6_l.jpg,釣人向けのサービスを展開する当店では、釣った魚を捌いて、食べる事が出来ます。また、魚の現金買取もしており、全国の釣人から注目の施設です。初心者向けに展開する完全手ぶらOKでインストラクター付きの「海釣り体験教室」は、毎年数百名が参加する大人…,午前の部・午後の部それぞれ15名,3時間程度,,"0776-82-8557
",福井県坂井市三国町宿3-7-22(みくに隠居処内),[午前の部]9:00～12:00,毎週木曜日(夏季・祝日営業),"海釣り体験教室:6,380円/1セット",えちぜん鉄道(三国・東尋坊方面)終点「三国港駅」から徒歩7分,あり,https://mikuni-ototo.jp/,,手ぶらでOK！親子で楽しむ海釣り体験教室,,,16(店舗正面2、裏6、裏通り専用8),,,（2022年）4月1日～10月31日まで,海釣り体験教室は、毎年4月1日～10月31日で開催しています。1セット2名まで利用可能で、同伴は無料です。大手体験予約サイト「アソビュー」でゴールドグランプリ賞を受賞した大好評の釣り体験です。,,/lsc/upfile/spot/0000/1622/1622_1_file.pdf,,
detail_1651,池田町立クライミングウォール,いけだちょうりつくらいみんぐうぉーる,"丹南,池田町",自然・スポーツ体験,35.8578858,136.3039849,14,https://www.fuku-e.com/spot/detail_1651.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1651/1651_1_l.jpg,元小学校の体育館の中に3種類のウォールを配した全天候型クライミング施設。バラエティに富んだコース設計の「ボルダリングウォール」、高さ約14メートルの天井まで登れる「リードウォール」、国際規格と同等のコースを体験できる「スピードウォール」があり…,,,,池田町立クライミングウォール/農村de合宿キャンプセンター　0778-44-6181,福井県池田町菅生23-42(農村de合宿キャンプセンター併設),10:00～21:00,水曜日、年末年始,"登録料1,500円(初回のみ)
体験1時間500円、2時間800円、1日1,100円、1ヶ月6,000円
※登録をしない一般利用は2時間1,800円",北陸自動車道「武生IC」から車で25分/北陸自動車道「鯖江IC」から車で35分/北陸自動車道「福井IC」から車で40分,あり,https://ikeda-climbing.jp/,,,,,30,,,,,,,,
detail_2001,越前そば道場,えちぜんそばどうじょう,"あわら・坂井・福井市,福井市",,36.0458913,136.193333,16,https://www.fuku-e.com/experience/detail_2001.html,https://www.fuku-e.com/common/images/ogImg.png,福井名物おろしそばを、そば食文化として伝承していこうと道場主・中山重成により日本で最初に作られました。おろしそばのルーツや効用などを知った上でそば打ち体験に挑戦していただけます。,,体験コースによって異なります。ホームページでご確認ください。,,"0776-36-3538（越前そば道場
電話(0776)36-3538
FAX (0776)35-3536）",福井県福井市福町31-1-19,10:00~17:00(要予約),不定休,そば打ち体験(1～4名)6000円(5名以上で1人に付き1500円プラス),JR福井駅前から江守の里行き京福バス「福町」下車徒歩5分/北陸自動車道福井ICから車で20分,あり,http://www.pilliken.jp/soba-dojo/,,そば打ち体験,,予約方法 : 電話またはFAXにてお申込,,,,受付時間 : 午前10時から午後5時まで,,,,,
detail_2002,みかん狩り,みかんがり,"若狭路,敦賀市",農業体験・フルーツ狩り,35.6479292241489,136.065386314156,18,https://www.fuku-e.com/experience/detail_2002.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2002/2002_1_l.jpg,美しい海岸線を見ながらのみかん狩り。食べ放題、お土産つき。,,,,0770-47-6107（JA福井県敦賀美方基幹支店　営業指導課）,福井県敦賀市東浦地区,10月中旬~11月下旬,,"大人(中学生以上)　1,000円
小人(3歳～小学生)　700円
※団体(30名以上)の場合はそれぞれ1割引

",JR敦賀駅からコミュニティバス「東浦線」で東浦地区内下車/北陸自動車道敦賀ICから車で約25～35分,,http://www.turuga.org/places/mikan/mikan.html,,,,予約方法 : 電話にて予約,,,,,,,,,
detail_2003,地引網体験,じびきあみたいけん,"若狭路,敦賀市",漁業体験・魚釣り,35.654988,136.05796,16,https://www.fuku-e.com/experience/detail_2003.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2003/2003_1_l.jpg,日本三大松原のひとつ、名勝「気比の松原」で地引網を体験しよう。どんな魚がとれるかはお楽しみ。もちろんとれた魚はすべてお持ち帰りOKです。とれた魚でバーベキューも楽しめます。(別料金。30名以上から),"30人より
(大人のみであれば、15人でもOK)",,,0770-23-0881（民宿とね）,福井県敦賀市松島町･名子,"4月下旬~11月上旬
9:00~15:00","悪天候(雨天や強風など)が予想されるとき、海開き期間中で場所の確保が出来ないときは、中止の可能性あり。
","漁師により異なります。
お問い合わせください。",JR敦賀駅からコミュニティバス「松原線」で「気比の松原」下車/北陸自動車道敦賀ICから車で約13分,,http://www.turuga.org/places/jibikiami/jibikiami.html,,,,予約方法 : 電話にて予約,,,,,海昇園 TEL:0770-22-5299　　伝平荘 TEL:0770-22-4236,,,,
detail_2004,ブルーパーク阿納,ぶるーぱーくあのう,"若狭路,小浜市",漁業体験・魚釣り,35.537010676492926,135.78683137893677,16,https://www.fuku-e.com/experience/detail_2004.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2004/2004_2_l.jpg,釣堀で、マダイや小鯛の釣り体験を楽しんで、釣った魚のさばき体験やバーベキューもできます。,若狭の小鯛釣り放題は1名から、さばき体験は5名以上(要予約),3時間,,0770-54-3611（阿納体験民宿組合　0770-54-3610）,福井県小浜市阿納,"8:00~15:00
※上記時間外でも相談に応じます",12月～3月,"若狭の小鯛釣り放題　1人1時間3,500円
さばき体験　1人3,500円(5名以上で要予約)",JR小浜駅から車で約15分/舞鶴若狭自動車道小浜ICから車で約20分,あり,http://bluepark-ano.com/,,"若狭の小鯛釣り放題
さばき体験　など",,予約方法 : ホームページ内の「予約」フォームまたは電話にて,10,,,受付時間 : HPお問い合わせフォーム、お電話受付は9:00～17:00,,,,,
detail_2005,ツカモト民芸センター,つかもとみんげいせんたー,"若狭路,小浜市",ものづくり体験,35.5212461,135.7515434,16,https://www.fuku-e.com/spot/detail_2005.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2005/2005_1_l.jpg,さまざまなうるし細工を展示・販売しており、またうるしダルマの絵付け体験もできる。,2～12人,約90分,,0770-52-2590（ツカモト民芸センター　0770-52-2590 ）,福井県小浜市福谷8-29-8,9:00~18:00,年末年始・毎週火曜日・水曜日(1、2月は体験のみお休み),入場料：無料　/　体験料：だるま絵付け　950円,JR小浜駅から車で10分/舞鶴若狭自動車道小浜ICから車で約15分,あり,,,"・だるま絵付け
",,予約方法 : 電話(絵付け体験のみ前日までに要予約),,,,,,,,,
detail_2006,箸のふるさと館ＷＡＫＡＳＡ,はしのふるさとかんわかさ,"若狭路,小浜市",ものづくり体験,35.522321,135.7515156,16,https://www.fuku-e.com/spot/detail_2006.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2006/2006_1_l.jpg,若狭塗箸が約3000種類展示されていて、伝統の技を感じることができます。また、箸の研ぎ出し体験が人気で、自分だけの箸を作ることができます。毎年8月4日には恒例の箸まつりが行なわれます。,約30名(機械は10台なので一度に同時に出来る人数は10名),,,0770-52-1733（箸のふるさと館）,福井県小浜市福谷8-1-3,(平日)9:00~17:00､(日･祝日)9:00~16:00,年末年始・毎週木曜日,入場料：無料　/　体験料：1人700円(10名以上の場合は要予約),JR小浜駅から車で10分/舞鶴若狭自動車道小浜ICから車で約15分,あり,http://www.wakasa-hashi.com/,,箸とぎ体験,,予約方法 : 前日までに電話、HP、またはFAX( 0770-53-0043)よりご予約,,,,,大型バス駐車可,,,,
